"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","PutOuts","Assists","Errors","Salary","Weight","Height","LeagueA","LeagueN","DivisionE","DivisionW","NewLeagueA","NewLeagueN"
"Al Newman",185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70000,175,69,0,1,1,0,1,0
"Alan Ashby",315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475000,185,74,0,1,0,1,0,1
"Alan Trammell",574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517143,165,72,1,0,1,0,1,0
"Alan Wiggins",239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,7e+05,160,74,1,0,1,0,1,0
"Alex Trevino",202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512500,165,70,0,1,0,1,0,1
"Alfredo Griffin",594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750000,160,71,1,0,0,1,1,0
"Alvin Davis",479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480000,195,73,1,0,0,1,1,0
"Andre Dawson",496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,5e+05,180,75,0,1,1,0,0,1
"Andre Thornton",401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100000,200,75,1,0,1,0,1,0
"Andres Galarraga",321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,91500,235,75,0,1,1,0,0,1
"Andres Thomas",323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75000,170,73,0,1,0,1,0,1
"Andy Allanson",293,66,1,30,29,14,1,293,66,1,30,29,14,446,33,20,60000,220,77,1,0,1,0,1,0
"Andy VanSlyke",418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550000,200,74,0,1,1,0,0,1
"Argenis Salazar",298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,1e+05,150,70,1,0,0,1,1,0
"Barry Bonds",413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,1e+05,185,73,0,1,1,0,0,1
"Ben Oglivie",346,98,5,31,53,30,16,5913,1615,235,784,901,560,0,0,0,766593,160,74,1,0,1,0,1,0
"Bill Almon",196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240000,180,75,0,1,1,0,0,1
"Bill Buckner",629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,776667,185,72,1,0,1,0,1,0
"Bill Doran",550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625000,175,71,0,1,0,1,0,1
"Bill Madlock",379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850000,180,71,0,1,0,1,0,1
"Bill Russell",216,54,0,21,18,15,18,7318,1926,46,796,627,483,103,84,5,45000,175,72,0,1,0,1,0,1
