Player Name,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,Weight,Height,NewLeague
Al Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,N,E,76,127,7,70000,175,69,A
Alan Ashby,315,81,7,24,38,39,14,3449,835,69,321,414,375,N,W,632,43,10,475000,185,74,N
Alan Trammell,574,159,21,107,75,59,10,4631,1300,90,702,504,488,A,E,238,445,22,517143,165,72,A
Alan Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,A,E,121,151,6,700000,160,74,A
Alex Trevino,202,53,4,31,26,27,9,1876,467,15,192,186,161,N,W,304,45,11,512500,165,70,N
Alfredo Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,282,421,25,750000,160,71,A
Alvin Davis,479,130,18,66,72,76,3,1624,457,63,224,266,263,A,W,880,82,14,480000,195,73,A
Andre Dawson,496,141,20,65,78,37,11,5628,1575,225,828,838,354,N,E,200,11,3,500000,180,75,N
Andre Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,A,E,0,0,0,1100000,200,75,A
Andres Galarraga,321,87,10,39,42,30,2,396,101,12,48,46,33,N,E,805,40,4,91500,235,75,N
Andres Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,N,W,143,290,19,75000,170,73,N
Andy Allanson,293,66,1,30,29,14,1,293,66,1,30,29,14,A,E,446,33,20,60000,220,77,A
Andy VanSlyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,N,E,211,11,7,550000,,,N
Argenis Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,121,283,9,100000,,,A
Barry Bonds,413,92,16,72,48,65,1,413,92,16,72,48,65,N,E,280,9,5,100000,185,73,N
Ben Oglivie,346,98,5,31,53,30,16,5913,1615,235,784,901,560,A,E,0,0,0,766593,160,74,A
Bill Almon,196,43,7,29,27,30,13,3231,825,36,376,290,238,N,E,80,45,8,240000,180,75,N
Bill Buckner,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,1067,157,14,776667,185,72,A
Bill Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,N,W,262,329,16,625000,175,71,N
Bill Madlock,379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,72,170,24,850000,180,71,N
Bill Russell,216,54,0,21,18,15,18,7318,1926,46,796,627,483,N,W,103,84,5,45000,175,72,N
Bill Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,A,E,307,25,1,180000,200,74,A
Billy Beane,183,39,3,20,15,11,3,201,42,3,20,16,11,A,W,118,0,0,65000,195,76,A
Billy Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,N,W,226,7,4,110000,175,69,N
Billy Sample,200,57,6,23,14,14,9,2516,684,46,371,230,195,N,W,69,1,1,470000,175,69,N
BillyJo Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,A,E,326,29,5,67500,,,A
Bip Roberts,241,61,1,34,12,14,1,241,61,1,34,12,14,N,W,166,172,10,60000,150,67,N
Bo Diaz,474,129,10,50,56,40,10,2331,604,61,246,327,166,N,W,732,83,13,750000,185,71,N
Bob Boone,22,10,1,4,2,1,6,84,26,2,9,9,3,A,W,812,84,11,853479,195,74,A
Bob Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,N,W,518,55,3,600000,210,74,N
Bob Dernier,324,73,4,32,18,22,7,1931,491,13,291,108,180,N,E,222,3,3,708333,160,72,N
Bob Horner,517,141,27,70,87,52,9,3571,994,215,545,652,337,N,W,1378,102,8,1800000,195,73,N
Bob Kearney,204,49,6,23,25,12,7,1309,308,27,126,132,66,A,W,419,46,5,300000,190,72,A
Bob Melvin,268,60,5,24,25,15,2,350,78,5,34,29,18,N,W,442,59,6,90000,205,76,N
Bobby Bonilla,426,109,3,55,43,62,1,426,109,3,55,43,62,A,W,361,22,2,115000,210,75,N
Bobby Grich,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,A,W,127,221,7,500000,180,74,A
Bobby Meacham,161,36,0,19,10,17,4,1053,244,3,156,86,107,A,E,70,149,12,NA,,,A
Brett Butler,587,163,4,92,51,70,6,2695,747,17,442,198,317,A,E,434,9,3,765000,160,70,A
